id,username,time_created,tweet,retweet_count,location_user,place_tweet
604,FCBarcelona,2019-01-16 22:42:40+05:30,"🎦 LIVE WORKOUT! 🎦 Watch Barça train ahead of the second leg of the #CopaBarça!
      👉 https://t.co/aQPvUd7vUs 👈
🔵🔴 #ForçaBarça https://t.co/ByxrS4ijb1",47,Barcelona,
605,ANI,2019-01-16 22:42:37+05:30,Former Karnataka CM &amp; Congress leader Siddaramaiah directs MLAs to attend CLP meeting to be held on 18 January. Warns anti-defection law will be used against those who fail to attend meeting &amp; it'll be assumed that member himself has decided to leave primary membership of party. https://t.co/q4z1izNlyY,21,India,
606,jeremyphoward,2019-01-16 22:42:16+05:30,RT @dhh: This is just insane. What a grotesque setup of self-dealing. WeGrift. https://t.co/cPR5GSLvml,62,San Francisco,
607,ndtv,2019-01-16 22:41:38+05:30,Cabinet go-ahead for facilitation of visa arrangements with Maldives https://t.co/pvhTEnE9mI https://t.co/Fy8jvN73VG,3,India,
608,IndiaToday,2019-01-16 22:40:05+05:30,The high-drama of the Karnataka politics has been a trouble for all the concerned parties. Watch what all actually happened there. Watch #PeoplesCourt with @PadmajaJoshi: https://t.co/PnTrLQu9p0 https://t.co/ivijJ8p3gN,3,India,
609,the_hindu,2019-01-16 22:40:03+05:30,"Drought has many dimensions but treated wastewater could be one solution to the distress. Using this wisely would be water wisdom. 
https://t.co/bDIevFhO8r",10,"Chennai, India",
610,IndiaToday,2019-01-16 22:40:03+05:30,"#RamMandirRumble
RSS labels Congress, Left as culprits obstructing Ram temple 
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/yx7d6MVXmH",1,India,
611,ZeeNews,2019-01-16 22:39:34+05:30,"Salman Khan's 'Bharat' sneak peek teaser out—Watch

https://t.co/aDsM38bbUp",5,India,
612,firstpost,2019-01-16 22:35:23+05:30,"#AmitShah is suffering from swine flu and was admitted AIIMS, Delhi on Wednesday.
https://t.co/5DQ4YA1leo",5,"Mumbai, India",
613,IndiaToday,2019-01-16 22:35:13+05:30,"The TDP-Congress alliance was defeated badly in the Telangana election and TRS was re-elected with a thumping majority.
https://t.co/rtDdyRr6Ov",1,India,
614,ndtv,2019-01-16 22:35:02+05:30,Make online FIR filing available to passengers: Rajnath Singh to railways https://t.co/iyPfmLKYGm https://t.co/0XGORG8LR9,4,India,
615,htTweets,2019-01-16 22:35:00+05:30,"RBI loosens curbs on companies’ offshore borrowing, move likely to support rupee
https://t.co/HdoiuZzOLJ https://t.co/8Mj3YhkqvO",0,India,
616,ZeeNews,2019-01-16 22:33:43+05:30,"#DNA: Non Stop News, 16 January, 2019 https://t.co/bh7K5ZrIRq",4,India,
617,ManUtd,2019-01-16 22:33:00+05:30,"Focus 🔛 Brighton! 🤜🤛

For more exclusive footage from today's training session, head to the #MUFC Official App!",146,"Manchester, England",
618,IndiaToday,2019-01-16 22:32:59+05:30,"RT @BT_India: #BTLoLYourPick of the Day by @alokrsrivastav | Also, Thanks to @Mads_Aries @KSC_Rao @ramaneb123 @shantilalhajeri @TheSanjayGo…",5,India,
619,IndiaToday,2019-01-16 22:32:37+05:30,"#ModiVsRest
The entire federal front is a facade of PM Modi and BJP: @sravandasoju
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/QlwIqh8egs",4,India,
620,IndiaToday,2019-01-16 22:32:22+05:30,"Congress will write to the EC requesting it to postpone the electoral roll out date. 
(@mayuganapatye)
https://t.co/TPFz6f988B",7,India,
621,narendramodi,2019-01-16 22:32:18+05:30,"Individuals like Mr. Yohei Sasakawa motivate millions of people. He is at the forefront of many philanthropic initiatives. 

His compassionate nature can be seen in the manner in which he’s worked to eliminate leprosy. 

Congratulations to him for the Gandhi Peace Prize, 2018.",641,India,
622,kdnuggets,2019-01-16 22:32:08+05:30,42 Essential Quotes by #DataScience Thought Leaders #KDN https://t.co/SEhvwFy6eS,1,"Brookline, MA, USA",
623,GCPcloud,2019-01-16 22:31:01+05:30,Announcing Go support on Cloud Functions in beta: helping users write HTTP &amp; background functions that scale dynamically &amp; integrate seamlessly with Google Cloud events → https://t.co/FGpmHI8ofe https://t.co/4SrMV28mgq,23,"",
624,the_hindu,2019-01-16 22:30:17+05:30,"Manjinder Singh Sirsa alleged that the Congress made 1984 anti-Sikh riots accused #JagdishTytler sit in the front row at an event 
https://t.co/ZOE8d6xaVx",1,"Chennai, India",
625,premierleague,2019-01-16 22:30:01+05:30,"RT @OfficialFPL: 🚫 Kane
✅ Rashford

#FPL Daily on the big transfer move many managers are making 🔄 https://t.co/7n3gesfeG5",49,"",
626,narendramodi,2019-01-16 22:29:45+05:30,"Education is a strong means to empowerment and Ekal Abhiyan Trust is working in remote areas, so that children from tribal families get the opportunity to study. 

Their role in furthering women empowerment is laudatory. 

Congratulations to them for the Gandhi Peace Prize, 2017.",774,India,
627,IndiaToday,2019-01-16 22:29:18+05:30,"Though BSP has no seat in the current Lok Sabha but it enjoys a significance percentage of vote share. So, could Mayawati be a strong contender for 2019 polls? Watch the interesting #TTP debate with @PreetiChoudhry: https://t.co/nVQVM4mcps https://t.co/fya7u7mr0k",1,India,
628,ndtv,2019-01-16 22:28:59+05:30,"""Why is BJP hiding its lawmakers?"" Congress on Karnataka political turmoil https://t.co/tZacwRoCAI https://t.co/cNwdBoQkmz",4,India,
629,firstpost,2019-01-16 22:28:31+05:30,"This edition of the #KumbhMela has been secured with the deployment of several special forces.

https://t.co/4BHX6VX7G5",1,"Mumbai, India",
701,rajyasabhatv,2019-01-16 21:53:20+05:30,"To The Point with Jitendra Singh, MoS PMO, DONER: https://t.co/EhYlI6yQio via @YouTube",0,TV | Web,
630,narendramodi,2019-01-16 22:28:17+05:30,"The Sulabh International family has added immense strength to the Swachh Bharat movement. 

This is a team that is working constantly at the grassroots level to realise Bapu’s dream of a clean India. 

I congratulate Sulabh International for the Gandhi Peace Prize, 2016.",829,India,
631,narendramodi,2019-01-16 22:27:22+05:30,"The Akshaya Patra Foundation’s determined efforts ensure nutritious meals for many. 

Their outstanding work has also ensured more children go to school. 

I congratulate them for the Gandhi Peace Prize, 2016. @AkshayaPatra",682,India,
632,lawrennd,2019-01-16 22:27:13+05:30,"Interested in decision making under uncertainty? 

Check out Emukit!

Python toolkit for Sensitivity analysis, multi-fidelity modelling, Bayesian optimization, Bayesian quadrature and experimental design. 

Great work team!

@emukitUQ @javiergonzh @alpiges https://t.co/QNf0LutEii",4,Sheffield,
633,htTweets,2019-01-16 22:27:03+05:30,"RT @HTSportsNews: 48-team 2022 @FIFAWorldCup only possible if Doha agrees: official

https://t.co/yRVF1UMUIc",3,India,
634,IndiaToday,2019-01-16 22:27:01+05:30,"#ModiVsRest
BJP and TDP have betrayed the state of Andhra together: K Parthasarthy, YSRCP leader  
#NEWSROOM
Live: https://t.co/4fqxBVUizL https://t.co/AWGkYVOkd7",2,India,
635,narendramodi,2019-01-16 22:26:08+05:30,"The Vivekananda Kendra is doing commendable work towards the development of our villages. 

Their initiatives to improve education and community service have touched several lives, particularly youngsters. 

I congratulate @vkendra for the Gandhi Peace Prize, 2015.",599,India,
636,htTweets,2019-01-16 22:25:00+05:30,"Seers, saints and their swanky rides on high-end vehicles in Kumbh city
https://t.co/9DMdru7qsw https://t.co/SBQBJdBkl1",2,India,
637,dna,2019-01-16 22:24:40+05:30,"#ViratKohli says, focus on shorter formats no 'excuse' for Test cricket challenges

https://t.co/GufVEaypIa",0,India,
638,ndtv,2019-01-16 22:23:47+05:30,"17 giant tunnel-boring machines at work as Mumbai awaits new metro line

Read here: https://t.co/u0guEwro4r https://t.co/HMPt4UMov6",21,India,
639,smritiirani,2019-01-16 22:23:33+05:30,@AmitShah ईश्वर आपको जल्द ही स्वस्थ करें।,165,India,
640,IndiaToday,2019-01-16 22:23:28+05:30,"BJP says it is confident that its MLAs will remain loyal. Then, why 100 MLAs have been taken to the Manesar hotel? Watch the #5iveLive debate with @ShivAroor: https://t.co/9tHeTtPWVf https://t.co/IIoZxCAYQS",3,India,
